v1,v2
ham,Let's have lunch tomorrow.
spam,You have been selected for a prize reward!
ham,Please review the attached document.
spam,Get cheap medicines at discounted prices.
ham,Don't forget the meeting at 10 AM.
spam,You won a free vacation to Bahamas!
ham,Call me when you reach home.
spam,Claim your free gift voucher now!!!
ham,Happy birthday! Have a great day!
spam,Limited time offer. Act fast!
ham,Send me the project files.
spam,You have won 1 million dollars!!!
ham,Hey are we still meeting today?
spam,Win a FREE lottery ticket now!!!
ham,I'll call you later.
spam,Congratulations! You have won $1000. Claim now!
ham,Can you send me the notes?
spam,Exclusive offer just for you. Buy now!
ham,Are you coming to the party tonight?
spam,URGENT! Your account has been compromised. Click here.
ham,Let's have lunch tomorrow.
spam,You have been selected for a prize reward!
ham,Please review the attached document.
spam,Get cheap medicines at discounted prices.
ham,Don't forget the meeting at 10 AM.
spam,You won a free vacation to Bahamas!
ham,Call me when you reach home.
spam,Claim your free gift voucher now!!!
ham,Happy birthday! Have a great day!
spam,Limited time offer. Act fast!
ham,Send me the project files.
spam,You have won 1 million dollars!!!
ham,Hey are we still meeting today?
spam,Win a FREE lottery ticket now!!!
ham,I'll call you later.
spam,Congratulations! You have won $1000. Claim now!
ham,Can you send me the notes?
spam,Exclusive offer just for you. Buy now!
ham,Are you coming to the party tonight?
spam,URGENT! Your account has been compromised. Click here.
ham,Let's have lunch tomorrow.
spam,You have been selected for a prize reward!
ham,Please review the attached document.
spam,Get cheap medicines at discounted prices.
ham,Don't forget the meeting at 10 AM.
spam,You won a free vacation to Bahamas!
ham,Call me when you reach home.
spam,Claim your free gift voucher now!!!
ham,Happy birthday! Have a great day!
spam,Limited time offer. Act fast!
ham,Send me the project files.
spam,You have won 1 million dollars!!!
ham,Hey are we still meeting today?
spam,Win a FREE lottery ticket now!!!
ham,I'll call you later.
spam,Congratulations! You have won $1000. Claim now!
ham,Can you send me the notes?
spam,Exclusive offer just for you. Buy now!
ham,Are you coming to the party tonight?
spam,URGENT! Your account has been compromised. Click here.
ham,Let's have lunch tomorrow.
spam,You have been selected for a prize reward!
ham,Please review the attached document.
spam,Get cheap medicines at discounted prices.
ham,Don't forget the meeting at 10 AM.
spam,You won a free vacation to Bahamas!
ham,Call me when you reach home.
spam,Claim your free gift voucher now!!!
ham,Happy birthday! Have a great day!
spam,Limited time offer. Act fast!
ham,Send me the project files.
spam,You have won 1 million dollars!!!
ham,Hey are we still meeting today?
spam,Win a FREE lottery ticket now!!!
ham,I'll call you later.
spam,Congratulations! You have won $1000. Claim now!
ham,Can you send me the notes?
spam,Exclusive offer just for you. Buy now!
ham,Are you coming to the party tonight?
spam,URGENT! Your account has been compromised. Click here.
ham,Let's have lunch tomorrow.
spam,You have been selected for a prize reward!
ham,Please review the attached document.
spam,Get cheap medicines at discounted prices.
ham,Don't forget the meeting at 10 AM.
spam,You won a free vacation to Bahamas!
ham,Call me when you reach home.
spam,Claim your free gift voucher now!!!
ham,Happy birthday! Have a great day!
spam,Limited time offer. Act fast!
ham,Send me the project files.
spam,You have won 1 million dollars!!!
ham,Hey are we still meeting today?
spam,Win a FREE lottery ticket now!!!
ham,I'll call you later.
spam,Congratulations! You have won $1000. Claim now!
ham,Can you send me the notes?
spam,Exclusive offer just for you. Buy now!
ham,Are you coming to the party tonight?
spam,URGENT! Your account has been compromised. Click here.
ham,Let's have lunch tomorrow.
spam,You have been selected for a prize reward!
ham,Please review the attached document.
spam,Get cheap medicines at discounted prices.
ham,Don't forget the meeting at 10 AM.
spam,You won a free vacation to Bahamas!
ham,Call me when you reach home.
spam,Claim your free gift voucher now!!!
ham,Happy birthday! Have a great day!
spam,Limited time offer. Act fast!
ham,Send me the project files.
spam,You have won 1 million dollars!!!
